b,33.5,1.75,u,g,x,h,4.5,t,t,4,t,g,00253,857,+
b,25.5,0.375,u,g,m,v,0.25,t,t,3,f,g,00260,15108,+
a,28.42,3.5,u,g,w,v,0.835,t,f,0,f,s,00280,0,+
b,33.58,2.75,u,g,m,v,4.25,t,t,6,f,g,00204,0,+
b,26.0,1.0,u,g,q,v,1.75,t,f,0,t,g,00280,0,+
a,20.67,1.835,u,g,q,v,2.085,t,t,5,f,g,00220,2503,+
a,37.75,5.5,u,g,q,v,0.125,t,f,0,t,g,00228,0,+
b,39.25,9.5,u,g,m,v,6.5,t,t,14,f,g,00240,4607,+
b,59.67,1.54,u,g,q,v,0.125,t,f,0,t,g,00260,0,+
b,36.33,3.79,u,g,w,v,1.165,t,f,0,t,g,00200,0,-
b,34.0,4.5,u,g,aa,v,1.0,t,f,0,t,g,00240,0,-
a,18.83,4.415,y,p,c,h,3.0,t,f,0,f,g,00240,0,+
b,34.42,4.25,u,g,i,bb,3.25,t,t,2,f,g,00274,610,+
b,22.83,3.0,u,g,m,v,1.29,t,t,1,f,g,00260,800,+
a,22.5,11.0,y,p,q,v,3.0,t,f,0,t,g,00268,0,-
b,41.92,0.42,u,g,c,h,0.21,t,t,6,f,g,00220,948,+
b,39.83,0.5,u,g,m,v,0.25,t,f,0,f,s,00288,0,-
b,48.5,4.25,u,g,m,v,0.125,t,f,0,t,g,00225,0,+
b,27.25,0.625,u,g,aa,v,0.455,t,f,0,t,g,00200,0,-
b,16.25,0.835,u,g,m,v,0.085,t,f,0,f,s,00200,0,-
b,27.75,0.585,y,p,cc,v,0.25,t,t,2,f,g,00260,500,+
b,29.92,1.835,u,g,c,h,4.335,t,f,0,f,g,00260,200,+
a,25.42,1.125,u,g,q,v,1.29,t,t,2,f,g,00200,0,-
b,52.33,1.375,y,p,c,h,9.46,t,f,0,t,g,00200,100,-
b,29.67,1.415,u,g,w,h,0.75,t,t,1,f,g,00240,100,+
b,23.58,0.46,y,p,w,v,2.625,t,t,6,t,g,00208,347,-
b,38.67,0.21,u,g,k,v,0.085,t,f,0,t,g,00280,0,+
a,57.08,0.335,u,g,i,bb,1.0,t,f,0,t,g,00252,2197,-
a,64.08,0.165,u,g,ff,ff,0.0,t,t,1,f,g,00232,100,+
b,56.75,12.25,u,g,m,v,1.25,t,t,4,t,g,00200,0,+
b,39.92,6.21,u,g,q,v,0.04,t,t,1,f,g,00200,300,+
a,24.5,0.5,u,g,q,h,1.5,t,f,0,f,g,00280,824,+
a,30.67,12.0,u,g,c,v,2.0,t,t,1,f,g,00220,19,+
a,33.75,0.75,u,g,k,bb,1.0,t,t,3,t,g,00212,0,-
b,30.83,0.0,u,g,w,v,1.25,t,t,1,f,g,00202,0,+
b,23.08,11.5,u,g,w,h,2.125,t,t,11,t,g,00290,284,+
b,20.42,4.0,u,g,x,v,5.0,t,t,3,t,g,00290,2279,+
b,25.0,11.25,u,g,c,v,2.5,t,t,17,f,g,00200,1208,+
